"","Score","Tweet","Continent"
"1",3,"All The things that I Like About My Samsung Galaxy S4 Mini News Bubblews httptcoe5ECjMsK63 bubblews","Asia"
"2",2,"oh my god i just saw an orange Samsung galaxy s4","NorthAmerica"
"3",0,"MTMNumber1 nigga I got a galaxy s4 u got a nokia flip phone lol","NorthAmerica"
"4",4,"Best Buy 3 OtterBox Defender Series Case and Holster for Samsung Galaxy S4 Retail Packaging Bla httptco33gJVmJ4dA For Sale","NorthAmerica"
"5",1,"Thinking Of Getting A Galaxy S4","Asia"
"6",1,"Samsung Galaxy S4 Mini Available With US Cellular For 4999 On Two Year Contract httptcofAva4JohD5","NorthAmerica"
"7",1,"Who Got A galaxy S4 and want a iPhone 5c ","Asia"
"8",1,"Three big Canadian carriers are pushing updatesJust when you thought that every version of the Galaxy S4 had httptco0ureHcNq0P","Asia"
"9",0,"I think I want a galaxy s4","Asia"
"10",1,"Looks like Im getting a Galaxy S4","Asia"
"11",1,"Just bought a Galaxy S4 Goodbye apple ","NorthAmerica"
"12",0,"Anyone looking to buy a galaxy s4","NorthAmerica"
"13",1,"TiaMilan95 galaxy s4 its everything","Europe"
"14",1,"Galaxy S4 desktop charger perfect for nigtstands and office desks httptcoWRBjFbao72","Asia"
"15",1,"Should I stick to my iPhone or get the galaxy s4 ","NorthAmerica"
"16",0,"Samsung Galaxy S4 MHL converter the bliss of Fruit Ninja on the big screen httptcoh1K0z7GcFN","NorthAmerica"
"17",4,"Ahhh my Galaxy S4 finally got here it was nice being TeamIPhone the past 2 weeks but now its time to switch ","Europe"
"18",1,"Why cant i download CommSec to my Galaxy S4 And why i cant use netbank","Asia"
"19",0,"Galaxy SIV leather flip cover blue httptcoMHonMzsRaN","Europe"
"20",1,"Galaxy S4 MHL converter the bliss of your photo gallery on the big screen httptcohzmF0LTWWf","Asia"
"21",3,"Hit me up if you have a iPhone four or 4s or Samsung galaxy S3 or S4 for Verizon for sale 7873578","Europe"
"22",1,"Extended battery upgrade with cover for Samsung Galaxy S4 httptcouYrc3AOsWM","Europe"
"23",2,"Give me that white galaxy s4 case TheTylerDaniels","Europe"
"24",0,"I entered to win a Samsung Galaxy S4 in Purple from SoleilSelene and Sprint SprintMom Sprint httptcoj5sVfTjxlN","Asia"
"25",0,"Galaxy SIV flip cover green httptcoca395YCguc","Asia"
"26",1,"I liked a YouTube video from phonebuff httptcooAevG7ib9G 25 Reasons Why iPhone 5S Is Better Than Galaxy S4","NorthAmerica"
"27",2,"Samsung Galaxy S4 16GB BLACK TMOBILE NEW 46000 7 Bids End Date Monday Nov252013 155507 PST Buy It httptcox5GyajMa1X","Europe"
"28",0,"I want a galaxy s4","NorthAmerica"
"29",1,"Got The Galaxy S4 Turn Up","Asia"
"30",-2,"Is anyone having issues with their Galaxy S4 with old emails reappearing after theye been deleted particularly Outlook accounts","Europe"
"31",1,"aoife03 samsung galaxy s4 mini didnt wanna be an iphone wanker","Asia"
"32",0,"phonecase Samsung Galaxy S4 Commuter OtterBox Case free shipping httptco9GeOH8IVlr","NorthAmerica"
"33",1,"US Cellular Now Selling Samsung Galaxy S4 mini for 4999 IntoMobile httptcoGLKUv7LMiR ","Europe"
"34",1," Nokia Lumia 1020 vs Samsung Galaxy S4 Zoom httptcoOdhPx5Kbvm thailumia","Asia"
"35",1,"CUSTOM HARD CASE IPHONE ITOUCH 45 SAMSUNG GALAXY NOTE III S3 S3m S4 ONLY 180K LAMA PEMBUATAN 3 HARI ORDER VIA WALINE ","Asia"
"36",0,"Now I know that I can successfully photograph cranes at night Thanks Galaxy S4 Ill try to get some Christmas Cranes this year","NorthAmerica"
"37",1,"Almost finish I want you know how much I love you GALAXY s4 Today working for you ","Asia"
"38",1,"Samsung Galaxy S4 SPHL720 16GB White Frost Sprint Slightly Used 28500 2 Bids End Date Monday httptcoGdfcn9np4M","NorthAmerica"
"39",0,"Samsung Galaxy S4 16gb 40000 0 Bids End Date Thursday Nov282013 125411 PST Bid now Add to watch list httptcodNLzunZTmx","Europe"
"40",2,"The New Samsung Galaxy S4 Roundup Smartphone and Its Features httptcoFIp45cgqdB DeviceGadgets","Asia"
"41",0,"Just picked up my Samsung Galaxy s4 at the Fedex facility D","Asia"
"42",0,"SGS4 MHL adapter the euphoria of Gun Bros on the big screen httptcoTffnhQfVCV","Asia"
"43",1,"Got a Galaxy S4 and it rules","Europe"
"44",0,"How to fix a Galaxy S4 speaker in under 1min coming up httptcoFttDOSDueg","Europe"
"45",0,"I entered to win a Samsung Galaxy S4 in Purple from SoleilSelene and Sprint SprintMom Sprint httptcoaj1CinbFO4","Europe"
"46",0,"Might consider getting a Galaxy S4 now","Europe"
"47",0,"KillaKanseco Nigga They just pushed 43 out to devices for support of Galaxy Gear and KNOX S4 couldnt support that earlier","NorthAmerica"
"48",0,"Otterbox Defender hard case for Galaxy SIV httptco3dpyLEQzx0","Europe"
"49",0,"ezrijadzia nope Good choice on the galaxy s4 looks great","Asia"
"50",1,"How to replace a Galaxy S4 speaker in under 1 min is going to happen","Europe"
"51",2,"So I got home and was introduced to my new phone Got the Galaxy S4 im 2 happy 4 u niqqa","Asia"
"52",1,"My parents are the coolest bosses Theyre surprising one of our employees w a Galaxy S4 cause hes so hardworking Damn","Asia"
"53",0,"pursecase can you put in the Galaxy S3 in the S4 case They are the same sizes Let me know","Europe"
"54",0,"Idk wether to switch to the galaxy s4 or the I iPhone 5s","Asia"
"55",1,"Galaxy S4 desktop charging station perfect for bedside tables and office desks httptcoiD38LR8lal","NorthAmerica"
"56",0,"allysayegh no nigga lol thats s iPhone S4 is the new samsung galaxy","Asia"
"57",1,"SirGeronimo lol no I had a 4s then I broke it and tried out the galaxy s4 for a bit Now Im back to team iPhone","Europe"
"58",2,"Red Foil Like Christmas Stars On Green Galaxy S4 Cases Festive and elegant in a metallic foil like look Emerald httptcoAcuvSjRdOa","Europe"
"59",1,"Upgrading my iPhone 3GS to a Samsung Galaxy S4 for free via BestBuy early access Black Friday sale Gr8 deal Upgrading was a pain though","Asia"
"60",2,"Red Foil Like Christmas Stars On Green Galaxy S4 Cases Festive and elegant in a metallic foil like look Emerald httptcounZwYzWzFn","Asia"
"61",-1,"Stepdad got the galaxy s4 today and Im so jealous","Europe"
"62",0,"SGS4 external power bank httptcospxe6knXha","Asia"
"63",0,"Coach just came out with cases for the Galaxy S4 but not the S3 My day is officially ruined","Asia"
"64",0,"Samsung Galaxy S4 Mini Android 43 update rolled out No KitKat yet but the S4 Mini has a new flavour of Je httptcoiBkcHa9CMN","NorthAmerica"
"65",0,"Galaxy S4 MHL converter the euphoria of Angry Birds on the big screen httptcoem9Oz0bh7T","Europe"
"66",1,"But idk if I want to get an iPhone or a galaxy s4","Asia"
"67",0,"Galaxy S4 MHL converter the euphoria of Gun Bros on the HDTV httptcoPkTUTgGlMS","Asia"
"68",1,"PERFECT CONDITION White Samsung Galaxy s4 SPHL720SprintClean ESN w case 29800 2 BidsEnd Date M httptcoPLNujwRHeW","Asia"
"69",3,"An awesome deal worth sharing Samsung Galaxy S4 for FREE w2yr contract at Best Buy BlackFriday httptcoJg7qOC4o34 news holiday","NorthAmerica"
"70",3,"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoxXQ0HxSuCT","Asia"
"71",3,"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoVv9udsVbw4","Europe"
"72",3,"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoVE4RjGdy3s","Asia"
"73",2,"my GRANDMA just got herself the Galaxy s4 cool ahh ","NorthAmerica"
"74",3,"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoFUws22C7Xo","Europe"
"75",3,"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoTXXvwARh3l","Asia"
"76",1,"Getting the Galaxy S4 to replace my old phone","Europe"
"77",3,"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoFKi01XVr4f","NorthAmerica"
"78",3,"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptcoOcJfSM1bF1","NorthAmerica"
"79",3,"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptco6Rm7sOmHYK","Europe"
"80",3,"CENLA TRADING POST Looking to trade my iPhone 5 for a Galaxy S4 httptco6zqSBN0iFV","Europe"
"81",1,"Galaxy S4 desktop cradle perfect for nigtstands and work desks httptcoGx6YwEg4zz","NorthAmerica"
"82",1,"Otterbox Commuter case for SGS4 httptcoX6Qwl1hlnT","NorthAmerica"
"83",0,"Digicel definitely brightened Jodys Christmas as she was presented with a surprise gift of a Samsung Galaxy S4 httptco46HXoRSFL6","Europe"
"84",2,"iPhone or Android Android Wish someone would sell me a galaxy s3 or s4 for verizon httptcoD3zSPvodCE","Europe"
"85",2,"Samsung galaxy s4 is specially designed for females usesSamsung galaxy note 3 specially designd 4 males","NorthAmerica"
"86",2,"The fact that Galaxy S4 has some sort of branched family is just irritating Just put all the damn specs in the same freakin phone","Asia"
"87",0,"Samsungtweets I love the samsung galaxy s4 now I just need a tablet","Europe"
"88",1,"MrsRyze AllenHan Can you make something for Samsung Galaxy S4 too I want a League of Legends phone LoL4Ever","NorthAmerica"
"89",1,"I think I may try a BallisticCases on my galaxy s4","Asia"
"90",1,"How do you video chat on the galaxy S4 I know its not facetime thats iPhone","Asia"
"91",5,"guys do not buy Nokia lumia 820 its terrible i have to use it cause my one and only galaxy S4 is under repair ","Asia"
"92",1,"Galaxy S4 desktop charger perfect for bedside tables and office desks httptcohn7JxjdjDM","NorthAmerica"
"93",0,"Datgurltish miklichfam If I ever switch from iPhone Id get the Samsung Galaxy S4 or whatever version is out by then Seems very cool","Europe"
"94",-1,"making the switch to the galaxy s4 within the next couple days and Im actually nervous","Asia"
"95",2,"Guys please tell me Should I get the iPhone 5c or The galaxy s4 iPhone5c or GALAXYS4","Asia"
"96",1,"Battlefield EABattlefield battlelog Pls make the Commander App for Samsung Galaxy s4 Thx httptcocjtsYzFxTa","Asia"
"97",0,"SamsungMobile lot of people are complaining about the Galaxy S4 myself included It switches off randomly freezes and battery is unstable","Europe"
"98",1,"US Cellular Now Selling Samsung Galaxy S4 mini for 4999 Ian KerseyIntoMobile httptcoznhP4R0w7S","Europe"
"99",1,"US Cellular Now Selling Samsung Galaxy S4 mini for 4999 httptcoKKEdCOPndS Android","Europe"
"100",0,"Guess who got a galaxy s4 YEEHAW","Asia"
"101",2,"Got a OtterBox case on my galaxy s4 and it still got a crack in the screen nothing even touched the screen the case is a epic fail","Asia"
"102",0,"Otterbox Defender hard case for Galaxy S4 httptco8afklhdM9W","Europe"
"103",3,"I got iPhones 5c for 50Galaxy S4 for 50Free Galaxy S3Att Sprint VerizonDont wait til black Friday to httptcogX7ct06p68","Europe"
"104",1,"FuckenAllie the galaxy s4 activex and for reals they are lol","Asia"
"105",1,"The galaxy S4 speakers are so much better than iPhone speakers","Europe"
"106",1,"Getting a galaxy s4 for Christmas","NorthAmerica"
"107",0,"Galaxy S4 casestand for those with smaller hands httptcoPw7cg2bRuG","Europe"
"108",0,"Otterbox Defender Series hard case for SGS4 httptcovV59x0qIoq","Asia"
"109",1,"Punisher Skull graphic case for Galaxy S4 httptcoiEaYBXkxrZ","Europe"
"110",1,"Otterbox Commuter protective case for SGS4 httptcoibE6HxtE5j","Europe"
"111",1,"SUN Solar Battery ChargerUSB Cable For Samsung Galaxy SS2S3S4 Andorid Phone 2499 End httptco3J9tWYsNPF","Europe"
"112",0,"Im over the Galaxy S4 I want my iPhone back","NorthAmerica"
"113",1,"Cant decide if I should get the Samsung Galaxy s4 or the Galaxy Note 3 help GalaxyNote","NorthAmerica"
"114",-1,"Tweeting from a budget Lenovo hhcomp is total crap compared to my Galaxy S4 or iPad justsaying","NorthAmerica"
"115",0,"Samsung Galaxy S4 MHL adapter the euphoria of Fruit Ninja on the big screen httptco9hUXE6PmkZ","NorthAmerica"
"116",2,"FrannyBoii ey I got the first mophie for galaxy s4 you got like you said in class I got the cash when you got the item","Europe"
"117",0,"I want the galaxy s4","Europe"
"118",1,"Galaxy S4 gonna be purchased if I keep my job","Asia"
"119",0,"I entered to win a Samsung Galaxy S4 in Purple from SoleilSelene and Sprint SprintMom Sprint httptcoRpfSb25R3T","Asia"
"120",-2,"there are people with iPhone5 and there are people with Galaxy S4 and there isme who is a phoneless preson and thank you very much","Europe"
"121",1,"dad might give me a galaxy s4 doeee omfg","Asia"
"122",0,"Glaxy S4 leather flip case blue httptco3GhGf47NXo","Europe"
"123",1,"Samsung video Samsung Galaxy S4 Zoom vs Samsung Galaxy S 4 If youre not paying attention to the details y httptcoHje9DY4jth","Europe"
"124",1,"Samsung video Samsung Galaxy S4 Zoom vs Samsung Galaxy S 4 If youre not paying attention to the details y httptcoloAz4pq13Q","Asia"
"125",1,"Samsung video Samsung Galaxy S4 Zoom vs Samsung Galaxy S 4 If youre not paying attention to the details y httptcoa631dRRPGf","Asia"
"126",1,"mariamarend meh galaxy s4 or apple 5s who knows Cant decide","Europe"
"127",-1,"Where can I get a new samsung galaxy s4 charger I lost mine ","NorthAmerica"
"128",0,"So I bought a mophie case for Samsung Galaxy S4 with VerizonWireless I will now never be short battery life saved","NorthAmerica"
"129",0,"Samsung Galaxy S4 Mini Android 43 update rolled out No KitKat yet but the S4 Mini has a new flavour of Je httptcoYxIkijem1u","Europe"
"130",-2,"Check out this item I found on eBay httptcoMLE2auyvd5 around 5 mins left bargin SAMSUNG GALAXY S4 WHITE PERFECT XMAS GIFTBIDBID","Asia"
"131",3,"Anyone on here got a Samsung Galaxy Mega Note2 Note3 or S4 Zoom Dm me need to know If there any good","Europe"
"132",1,"Galaxy S4 and Note 3 to get Android 44 in January S III and Note II before April 2014 httptcoPJf2Ak966b via feedly","NorthAmerica"
"133",-3,"Not bothered about Seven Psychopaths the Samsung Galaxy S4 is decent although I miss autocorrect emojis and gutted about Rioch","Europe"
"134",2,"rachelconnolly9 What you gettingMy upgrade is due in FebruarySee what I get offeredI like the look of the HTC1 and Galaxy S3 or S4x","Europe"
"135",0,"GETTING MY GALAXY S4 ON THURSDAY","Asia"
"136",0,"Got the galaxy s4 FinallyASmartphone","Asia"
"137",5,"SamsungSupport Just installed Kies 3 It recognises my Galaxy S4 but there is no sync tab Just have Basic Info and Backuprestore tabs","NorthAmerica"
"138",0,"Might get the Galaxy S4 ","NorthAmerica"
"139",0,"Galaxy s4 white for 450 with box and everything","Asia"
"140",2,"I love my galaxy s4 and all but I do miss having emojis when I had an Iphone Oh well","Asia"
"141",0,"MichelineKatari get a galaxy s4","Asia"
"142",2,"Im selling a samsung galaxy s4 for cricket Offer me if interested","Asia"
"143",0,"I just bought Samsung Galaxy S IVS4 Factory Unlocked Phone International Version Black via amazon Huey101 httptcofzb43PEBBm","NorthAmerica"
"144",-1,"Nellylovexx3 Im jealous of that Galaxy S4 Youre missing out","Europe"
"145",1,"Kinda wish I wouldve gotten the galaxy s4 instead of my iPhone 5s ","Europe"
"146",3,"my dads telling me about the htc one the windows phone the galaxy s4 Im just like no home boy I want the gold iphone 5s lol","NorthAmerica"
"147",0,"httptcojdxJ2mE7aZ Tragedy Samsung Android 43 also gives problems on Galaxy S4 International Business Time httptcoG83GZuYLsb","Asia"
"148",1,"LilShawn Verizon Galaxy S4 For Sale Who Want It how much ","NorthAmerica"
"149",2,"I gotta get that galaxy S4 that watch ","NorthAmerica"
"150",2,"US Cellular starts selling Galaxy S4 mini for 50 on 2 years contract httptcot7sVUOuIKP","NorthAmerica"
"151",-1,"Check out MNF Galaxy S4 I9500I9505 Leather Folio Case from Creativity Storefront httptco3TS9tABXgm via CreatorAlliance","Asia"
"152",1,"US Cellular Now Selling Samsung Galaxy S4 mini for 4999 US Cellular is now selling the S httptcoqumGKdL4qu android tech","NorthAmerica"
"153",0,"Otterbox Defender Series hard case for SGS4 httptcow4ouqd53Oj","Europe"
"154",2,"TheThugPrince Bbz 10 or z30 galaxy s4 or s5 iphone 4 Which one should i get idk buh u cud get me the Z30 thnx eh lol","NorthAmerica"
"155",-1,"Check out Church Flag Samsung Galaxy S4 Hardshell Case from Creativity Storefront httptco0r2gsqAuDg via CreatorAlliance","Europe"
