"Tweet","Continent"
"All The things that I Like About My Samsung Galaxy S4 Mini News Bubblews httptcoe5ECjMsK63 bubblews","Asia"
"oh my god i just saw an orange Samsung galaxy s4","NorthAmerica"
"MTMNumber1 nigga I got a galaxy s4 u got a nokia flip phone lol","NorthAmerica"
"Best Buy 3 OtterBox Defender Series Case and Holster for Samsung Galaxy S4 Retail Packaging Bla httptco33gJVmJ4dA For Sale","NorthAmerica"
"Thinking Of Getting A Galaxy S4","Asia"
"Samsung Galaxy S4 Mini Available With US Cellular For 4999 On Two Year Contract httptcofAva4JohD5","NorthAmerica"
"Who Got A galaxy S4 and want a iPhone 5c ","Asia"
"Three big Canadian carriers are pushing updatesJust when you thought that every version of the Galaxy S4 had httptco0ureHcNq0P","Asia"
"I think I want a galaxy s4","Asia"
"Looks like Im getting a Galaxy S4","Asia"
"Just bought a Galaxy S4 Goodbye apple ","NorthAmerica"
"Anyone looking to buy a galaxy s4","NorthAmerica"
"TiaMilan95 galaxy s4 its everything","Europe"
"Galaxy S4 desktop charger perfect for nigtstands and office desks httptcoWRBjFbao72","Asia"
"Should I stick to my iPhone or get the galaxy s4 ","NorthAmerica"
"Samsung Galaxy S4 MHL converter the bliss of Fruit Ninja on the big screen httptcoh1K0z7GcFN","NorthAmerica"
"Ahhh my Galaxy S4 finally got here it was nice being TeamIPhone the past 2 weeks but now its time to switch ","Europe"
"Why cant i download CommSec to my Galaxy S4 And why i cant use netbank","Asia"
"Galaxy SIV leather flip cover blue httptcoMHonMzsRaN","Europe"
"Galaxy S4 MHL converter the bliss of your photo gallery on the big screen httptcohzmF0LTWWf","Asia"
"Hit me up if you have a iPhone four or 4s or Samsung galaxy S3 or S4 for Verizon for sale 7873578","Europe"
"Extended battery upgrade with cover for Samsung Galaxy S4 httptcouYrc3AOsWM","Europe"
"Give me that white galaxy s4 case TheTylerDaniels","Europe"
"I entered to win a Samsung Galaxy S4 in Purple from SoleilSelene and Sprint SprintMom Sprint httptcoj5sVfTjxlN","Asia"
"Galaxy SIV flip cover green httptcoca395YCguc","Asia"
"I liked a YouTube video from phonebuff httptcooAevG7ib9G 25 Reasons Why iPhone 5S Is Better Than Galaxy S4","NorthAmerica"
"Samsung Galaxy S4 16GB BLACK TMOBILE NEW 46000 7 Bids End Date Monday Nov252013 155507 PST Buy It httptcox5GyajMa1X","Europe"
"I want a galaxy s4","NorthAmerica"
"Got The Galaxy S4 Turn Up","Asia"
"Is anyone having issues with their Galaxy S4 with old emails reappearing after theye been deleted particularly Outlook accounts","Europe"
